country_name,country_code,continent,region,population,life_expect,life_satisfaction,undernourishment,obesity,cbn_poverty,electricity,drinking_water_basic,sanitation_basic,clean_cooking_gbd,air_pollution_particles,air_pollution_ozone,uhc_who,dtp3,unmet_contraception,lower_secondary_school,unemployment_ilo,social_support,freedom,voice,stability,alcohol,HIV_unaids_untreated,gdp
Albania,ALB,Europe,Southern Europe,2883033.428571429,78.61842857142857,4.805176803043911,4.857142857142857,21.32051818540288,3.25476233,99.94428580147878,93.36687457714285,97.62695190857143,68.02646672857142,19.53555547,42.46145664,62,98.71428571428571,10.66571428571429,97.21742857142857,15.11857141767229,68.12318563461304,71.07833964484078,0.1324730161577463,0.2677212240440505,6.955,0.06171428571428571,12064.23897136975
Angola,AGO,Africa,Sub-Saharan Africa,28175465.57142857,60.50585714285715,4.030731598536174,14.87142857142857,7.711412946459291,38.85073,39.93224879673547,54.30046495285714,47.36620623857143,52.77065905714286,28.77038113,44.00008704857143,38,57,27.79,71.66933,7.388285841260637,74.29330348968506,41.33750001589457,-1.093810626438686,-0.3781036393983024,7.45,1.445326530612245,7692.294561916839
Argentina,ARG,Americas,Latin America and the Caribbean,43123907.57142857,76.659,6.382605757032122,2.785714285714286,28.17788626203071,3.90921,99.71960013253349,98.909356422,94.481978568,96.90206034285714,13.96883807,35.01021681,74,91,9.274142857142857,128.71198,7.827428613390243,90.64918671335492,80.52276117461068,0.4119501369340079,0.08043420720579368,9.600000000000001,0.164,23651.55378428372
Armenia,ARM,Asia,Western Asia,2876949.428571429,74.32257142857144,4.43913745880127,2.914285714285714,20.12217151300077,30.236665,99.73699515206475,99.48784381857143,92.79563938285715,96.10604854285714,36.78839651571428,52.95365789714285,66.5,93.85714285714286,7.457285714285714,92.01710333333334,17.64714295523507,72.6087612765176,58.51124354771206,-0.5049932152032852,-0.2874616331287793,5.695,0.1214285714285714,11557.18644201279
Australia,AUS,Oceania,Australia and New Zealand,23843575.28571429,82.37038327526133,7.26306813103812,2.5,28.8745877327,0.62428385,100,99.95023455857142,99.99115238,99.54335881428571,6.845058939142857,29.52331856857143,86.5,93.14285714285714,6.784428571428571,118.642325,5.658571447644912,94.01276963097709,92.31746792793274,1.394691773823329,0.982837838785989,10.67,0.02471428571428571,47639.35036965639
Austria,AUT,Europe,Western Europe,8639089.142857144,81.39024390243904,7.237677097320557,2.5,19.96281874052589,0.8713942,100,100.0000008328571,99.97694314142858,99.5899295,13.10841506714286,47.28260462857143,80,91.42857142857143,5.439857142857143,100.7355514285714,5.414285659790039,92.37409830093384,90.13467005320958,1.398761936596462,1.139607506138938,12.015,0.04528571428571428,53548.28174469371
Azerbaijan,AZE,Asia,Western Asia,9635517.285714285,71.54571428571428,5.202060699462891,2.5,19.35905905282582,0.1,100,91.97044323714286,94.44910353857144,91.6092379,26.44889554142857,46.48614851142857,62,94.14285714285714,4.566857142857143,93.07139142857143,4.989999975476946,78.03199802126203,71.19901946612767,-1.481409941400801,-0.6680922337940761,4.495,0.1285714285714286,14423.27298939086
Bangladesh,BGD,Asia,Southern Asia,157882082.4285714,70.72014285714286,4.5741103717259,13.67142857142857,3.34962751797468,36.50519,74.38275909423827,97.09291303571429,46.69196292285714,17.72912481428571,67.34389402428572,61.98257588571428,46.5,97,10.58857142857143,84.646960000000007,4.34742852619716,62.25234355245318,80.45568466186523,-0.5342259960515159,-1.232603549957275,0.02,0.08442857142857144,4384.402739059905
Belarus,BLR,Europe,Eastern Europe,9452398.714285715,73.30905923344949,5.588771820068359,2.5,24.52712360031761,0.73,100,96.59843091857142,97.55749917,98.9809152,18.14322730714286,38.47073834142857,70,97.71428571428571,11.13285714285714,101.1731228571429,5.734428678240096,90.85964475359235,65.16326495579311,-1.440246054104396,0.1144611854106188,11.725,0.2355918367346939,18587.55770089197
Belgium,BEL,Europe,Western Europe,11269032.28571429,81.11149825783973,6.938255310058594,2.5,22.21141644909667,0.2446462,100,99.99999819,99.48613605142857,99.80245775714286,13.33640352857143,39.76269513857143,84.5,98.57142857142857,1.620857142857143,169.53194,7.691428593226841,92.0782847063882,85.81933975219727,1.358678800719125,0.6319928211825234,11.45,0.04528571428571428,49429.45845722984
Belize,BLZ,Americas,Latin America and the Caribbean,359717.8571428572,73.43900000000001,5.955646514892578,7.228571428571429,23.81286207904393,15.7924,92.06822967529297,96.97472113285714,87.21662261,84.75104138571429,21.30408994142857,38.16664159142857,64.5,94.42857142857143,20.46142857142857,93.06914714285715,7.53142854145595,75.69324970245361,87.35690712928772,0.5812486835888454,0.07823644442084644,6.48,0.7719387755102041,9080.902396769068
Benin,BEN,Africa,Sub-Saharan Africa,10952568.85714286,59.38828571428571,4.04647581917899,7.628571428571428,9.146383869132661,32.83358,35.37905475071499,64.77727226428571,14.79564636285714,6.402259757142857,44.10061077,48.42994383714286,37.5,76.14285714285714,26.65142857142857,71.50335749999999,1.97714282785143,49.60812926292419,75.442978313991,0.2678270840219089,0.08098221370684248,2.89,0.5482040816326531,2862.927878231945
Bolivia,BOL,Americas,Latin America and the Caribbean,11089367.28571429,67.32628571428572,5.831637382507324,14.4,19.78014721649067,14.082893,91.12208775111607,90.44616790428572,56.73333872285714,75.47844964285714,27.42748285714286,36.49921793714286,65,86.85714285714286,10.46971428571429,98.26519857142857,2.90142856325422,80.50554139273507,87.1699401310512,-0.04392441062788878,-0.3146106409175056,4.535,0.2254285714285714,7772.961554864178
